InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,1,1
1200,1,1
1300,0,1
1400,0,1
1500,1,1
1600,1,1
1700,1,2
1800,1,2
1900,1,2
2000,1,3
2100,1,3
2200,2,3
2300,2,3
2400,2,4
2500,2,4
2600,2,4
2700,2,4
2800,3,6
2900,2,6
3000,3,6
3100,3,6
3200,3,8
3300,3,8
3400,3,8
3500,4,9
3600,4,9
3700,4,10
3800,5,10
3900,5,10
4000,5,11
4100,5,12
4200,6,12
4300,6,13
4400,6,13
4500,6,14
4600,7,15
4700,7,16
4800,7,16
4900,8,16
5000,9,16
5100,9,17
5200,9,17
5300,9,18
5400,9,18
5500,10,19
5600,10,20
5700,10,20
5800,11,24
5900,21,22
6000,13,23
6100,12,23
6200,12,25
6300,13,26
6400,13,27
6500,14,28
6600,14,35
6700,15,32
6800,14,57
6900,17,38
7000,16,35
7100,18,35
7200,17,36
7300,18,37
7400,23,35
7500,19,37
7600,20,40
7700,20,39
7800,21,40
7900,20,41
8000,23,42
8100,26,43
8200,23,45
8300,23,47
8400,24,47
8500,23,49
8600,23,51
8700,25,55
8800,25,57
8900,25,55
9000,26,57
9100,26,60
9200,30,57
9300,31,61
9400,33,61
9500,36,62
9600,30,65
9700,31,66
9800,30,89
9900,31,73
10000,32,69
10100,33,72
10200,33,75
10300,33,75
10400,35,79
10500,35,79
10600,36,78
10700,37,83
10800,39,85
10900,38,86
11000,38,88
11100,39,88
11200,40,88
11300,43,88
11400,46,88
11500,44,92
11600,47,94
11700,46,95
11800,46,100
11900,45,97
12000,47,98
12100,49,102
12200,48,103
12300,49,104
12400,50,107
12500,54,114
12600,57,112
12700,55,111
12800,55,112
12900,58,115
13000,57,116
13100,58,117
13200,57,127
13300,73,124
13400,61,123
13500,62,125
13600,61,130
13700,64,132
13800,74,131
13900,67,134
14000,68,137
14100,66,136
14200,68,141
14300,81,154
14400,71,145
14500,73,145
14600,72,147
14700,74,151
14800,74,152
14900,75,156
15000,79,158
15100,80,160
15200,89,162
15300,79,170
15400,82,164
15500,83,166
15600,90,173
15700,86,173
15800,93,176
15900,88,176
16000,88,177
16100,90,177
16200,96,185
16300,99,186
16400,103,189
16500,101,190
16600,99,193
16700,100,195
16800,107,196
16900,100,196
17000,102,201
17100,101,207
17200,107,205
17300,105,208
17400,106,212
17500,107,214
17600,108,216
17700,128,220
17800,110,220
17900,113,223
18000,121,225
18100,116,230
18200,125,243
18300,120,234
18400,130,238
18500,120,242
18600,122,247
18700,127,251
18800,149,248
18900,129,249
19000,129,252
19100,128,257
19200,133,259
19300,141,261
19400,135,264
19500,143,270
19600,138,274
19700,138,273
19800,140,277
19900,144,277
