InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,1,0,0
1300,0,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,2,0,0
2100,2,0,0
2200,2,0,0
2300,2,0,0
2400,2,0,0
2500,3,0,0
2600,3,0,0
2700,3,0,0
2800,3,0,0
2900,4,0,0
3000,3,0,0
3100,4,0,0
3200,4,0,0
3300,4,0,0
3400,5,0,0
3500,5,0,0
3600,5,0,0
3700,6,0,0
3800,6,0,0
3900,6,0,0
4000,7,0,0
4100,7,0,0
4200,7,0,0
4300,8,0,0
4400,8,0,0
4500,9,0,0
4600,9,0,0
4700,9,0,0
4800,9,0,0
4900,10,0,0
5000,10,0,0
5100,11,0,0
5200,11,0,0
5300,11,0,0
5400,12,0,0
5500,13,0,0
5600,13,0,0
5700,13,0,0
5800,14,0,0
5900,14,0,0
6000,15,0,0
6100,15,0,0
6200,17,0,0
6300,19,0,0
6400,16,0,0
6500,17,0,0
6600,18,0,0
6700,18,0,0
6800,19,0,0
6900,19,0,0
7000,20,0,0
7100,21,0,0
7200,21,0,0
7300,21,0,0
7400,22,0,0
7500,23,0,0
7600,23,0,0
7700,25,0,0
7800,25,0,0
7900,28,0,0
8000,26,0,0
8100,26,0,0
8200,27,0,0
8300,28,0,0
8400,29,0,0
8500,29,0,0
8600,30,0,0
8700,31,0,0
8800,31,0,0
8900,32,0,0
9000,33,0,0
9100,35,0,0
9200,35,0,0
9300,40,0,0
9400,38,0,0
9500,39,0,0
9600,39,0,0
9700,40,0,0
9800,39,0,0
9900,40,0,0
10000,41,0,0
10100,41,0,0
10200,43,0,0
10300,43,0,0
10400,53,0,0
10500,52,0,0
10600,47,0,0
10700,47,0,0
10800,48,0,0
10900,48,0,0
11000,49,0,0
11100,50,0,0
11200,51,0,0
11300,51,0,0
11400,53,0,0
11500,64,0,0
11600,55,0,0
11700,56,0,0
11800,57,0,0
11900,59,0,0
12000,59,0,0
12100,60,0,0
12200,61,0,0
12300,62,0,0
12400,63,0,0
12500,77,0,0
12600,66,0,0
12700,68,0,0
12800,70,0,0
12900,70,0,0
13000,71,0,0
13100,71,0,0
13200,72,0,0
13300,74,0,0
13400,99,0,0
13500,76,0,0
13600,80,0,0
13700,80,0,0
13800,80,0,0
13900,82,0,0
14000,83,0,0
14100,84,0,0
14200,89,0,0
14300,89,0,0
14400,89,0,0
14500,91,0,0
14600,93,0,0
14700,93,0,0
14800,95,0,0
14900,96,0,0
15000,110,0,0
15100,106,0,0
15200,100,0,0
15300,102,0,0
15400,103,0,0
15500,104,0,0
15600,105,0,0
15700,110,0,0
15800,124,0,0
15900,111,0,0
16000,112,0,0
16100,113,0,0
16200,117,0,0
16300,116,0,0
16400,118,0,0
16500,144,0,0
16600,122,0,0
16700,125,0,0
16800,125,0,0
16900,126,0,0
17000,128,0,0
17100,129,0,0
17200,176,0,0
17300,133,0,0
17400,136,0,0
17500,137,0,0
17600,140,0,0
17700,143,0,0
17800,146,0,0
17900,181,0,0
18000,146,0,0
18100,149,0,0
18200,148,0,0
18300,149,0,0
18400,156,0,0
18500,181,0,0
18600,157,0,0
18700,160,0,0
18800,160,0,0
18900,161,0,0
19000,162,0,0
19100,191,0,0
19200,180,0,0
19300,166,0,0
19400,168,0,0
19500,170,0,0
19600,173,0,0
19700,212,0,0
19800,199,0,0
19900,183,0,0
