InputIndices,TestResults
0,0
100,0
200,0
300,1
400,1
500,0
600,1
700,1
800,1
900,2
1000,2
1100,2
1200,2
1300,3
1400,3
1500,3
1600,3
1700,4
1800,4
1900,4
2000,4
2100,5
2200,5
2300,5
2400,5
2500,5
2600,6
2700,6
2800,6
2900,6
3000,7
3100,7
3200,7
3300,7
3400,8
3500,7
3600,9
3700,8
3800,8
3900,8
4000,8
4100,9
4200,9
4300,9
4400,9
4500,10
4600,10
4700,10
4800,11
4900,11
5000,11
5100,11
5200,11
5300,12
5400,12
5500,13
5600,14
5700,14
5800,15
5900,14
6000,13
6100,14
6200,14
6300,15
6400,18
6500,16
6600,18
6700,20
6800,15
6900,17
7000,15
7100,16
7200,17
7300,17
7400,17
7500,17
7600,17
7700,17
7800,17
7900,18
8000,18
8100,18
8200,18
8300,19
8400,18
8500,19
8600,19
8700,19
8800,19
8900,20
9000,20
9100,20
9200,21
9300,20
9400,22
9500,23
9600,21
9700,22
9800,21
9900,22
10000,21
10100,21
10200,20
10300,21
10400,22
10500,20
10600,20
10700,19
10800,19
10900,19
11000,21
11100,19
11200,19
11300,18
11400,18
11500,18
11600,20
11700,17
11800,17
11900,18
12000,17
12100,16
12200,16
12300,16
12400,16
12500,16
12600,15
12700,15
12800,14
12900,16
13000,14
13100,14
13200,14
13300,13
13400,13
13500,13
13600,13
13700,12
13800,12
13900,12
14000,11
14100,11
14200,11
14300,10
14400,10
14500,9
14600,9
14700,9
14800,9
14900,9
15000,8
15100,8
15200,8
15300,8
15400,8
15500,8
15600,8
15700,8
15800,7
15900,6
16000,7
16100,7
16200,7
16300,7
16400,6
16500,7
16600,6
16700,6
16800,6
16900,5
17000,5
17100,5
17200,5
17300,5
17400,4
17500,4
17600,4
17700,4
17800,3
17900,3
18000,3
18100,3
18200,3
18300,3
18400,3
18500,3
18600,2
18700,2
18800,2
18900,2
19000,2
19100,1
19200,2
19300,1
19400,1
19500,1
19600,0
19700,0
19800,0
19900,0
