ListSizes,TestResult
0,0
1000,9
2000,1
3000,0
4000,0
5000,3
6000,13
7000,4
8000,6
9000,10
10000,13
11000,12
12000,12
13000,15
14000,12
15000,14
16000,16
17000,25
18000,16
19000,19
20000,19
21000,22
22000,26
23000,20
24000,25
25000,23
26000,26
27000,30
28000,29
29000,20
30000,30
31000,28
32000,32
33000,31
34000,28
35000,30
36000,30
37000,36
38000,28
39000,34
40000,35
41000,38
42000,36
43000,41
44000,32
45000,44
46000,38
47000,38
48000,49
49000,44
50000,45
51000,45
52000,47
53000,48
54000,48
55000,50
56000,47
57000,47
58000,56
59000,49
60000,56
61000,45
62000,63
63000,59
64000,60
65000,56
66000,63
67000,58
68000,58
69000,61
70000,66
71000,67
72000,67
73000,60
74000,66
75000,70
76000,68
77000,63
78000,78
79000,69
80000,76
81000,72
82000,85
83000,74
84000,80
85000,76
86000,78
87000,75
88000,79
89000,80
90000,83
91000,82
92000,85
93000,79
94000,92
95000,87
96000,85
97000,90
98000,85
99000,81
100000,90
101000,91
102000,87
103000,94
104000,92
105000,94
106000,95
107000,92
108000,99
109000,93
110000,99
111000,106
112000,100
113000,104
114000,100
115000,106
116000,106
117000,110
118000,105
119000,103
120000,106
121000,116
122000,111
123000,109
124000,111
125000,122
126000,113
127000,114
128000,109
129000,115
130000,117
131000,121
132000,116
133000,121
134000,115
135000,126
136000,119
137000,128
138000,124
139000,121
140000,131
141000,125
142000,130
143000,128
144000,127
145000,130
146000,133
147000,129
148000,134
149000,135
150000,137
151000,141
152000,141
153000,140
154000,148
155000,141
156000,133
157000,139
158000,143
159000,142
160000,152
161000,150
162000,149
163000,153
164000,154
165000,155
166000,150
167000,148
168000,149
169000,151
170000,159
171000,149
172000,157
173000,161
174000,158
175000,162
176000,160
177000,164
178000,164
179000,165
180000,171
181000,169
182000,167
183000,180
184000,168
185000,169
186000,167
187000,176
188000,178
189000,169
190000,175
191000,179
192000,184
193000,177
194000,174
195000,192
196000,182
197000,185
198000,180
199000,190
