K,TestResult
0,0
1000,199
2000,203
3000,218
4000,220
5000,221
6000,222
7000,258
8000,245
9000,274
10000,248
11000,243
12000,248
13000,241
14000,252
15000,255
16000,248
17000,241
18000,249
19000,250
20000,251
21000,251
22000,272
23000,255
24000,253
25000,264
26000,280
27000,268
28000,268
29000,267
30000,265
31000,295
32000,275
33000,277
34000,279
35000,289
36000,274
37000,277
38000,274
39000,296
40000,276
41000,336
42000,299
43000,294
44000,311
45000,323
46000,291
47000,290
48000,295
49000,306
50000,317
51000,289
52000,296
53000,294
54000,300
55000,303
56000,301
57000,290
58000,298
59000,297
60000,303
61000,316
62000,304
63000,304
64000,320
65000,328
66000,377
67000,353
68000,407
69000,396
70000,322
71000,393
72000,321
73000,310
74000,306
75000,338
76000,310
77000,333
78000,333
79000,307
80000,315
81000,312
82000,333
83000,361
84000,341
85000,330
86000,320
87000,328
88000,318
89000,325
90000,341
91000,333
92000,341
93000,338
94000,342
95000,348
96000,353
97000,352
98000,343
99000,340
100000,367
101000,347
102000,379
103000,334
104000,343
105000,341
106000,389
107000,397
108000,387
109000,362
110000,407
111000,389
112000,370
113000,403
114000,378
115000,427
116000,369
117000,371
118000,394
119000,357
120000,351
121000,350
122000,349
123000,392
124000,457
125000,392
126000,414
127000,415
128000,413
129000,368
130000,390
131000,371
132000,427
133000,376
134000,395
135000,467
136000,532
137000,529
138000,470
139000,455
140000,403
141000,443
142000,400
143000,385
144000,416
145000,395
146000,368
147000,402
148000,413
149000,365
150000,367
151000,367
152000,409
153000,480
154000,443
155000,395
156000,363
157000,373
158000,359
159000,369
160000,362
161000,379
162000,365
163000,386
164000,399
165000,402
166000,390
167000,371
168000,401
169000,439
170000,389
171000,431
172000,408
173000,418
174000,483
175000,500
176000,459
177000,456
178000,414
179000,419
180000,453
181000,405
182000,403
183000,403
184000,387
185000,400
186000,396
187000,407
188000,401
189000,410
190000,406
191000,385
192000,396
193000,390
194000,402
195000,399
196000,388
197000,388
198000,386
199000,417
