DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,0
2000,0,0,0
3000,3,0,3
4000,6,3,3
5000,9,1,3
6000,6,6,0
7000,12,0,6
8000,17,6,3
9000,14,9,4
10000,14,7,7
11000,29,6,13
12000,27,9,13
13000,31,14,12
14000,37,16,13
15000,37,16,9
16000,48,9,15
17000,54,16,13
18000,69,22,15
19000,69,16,16
20000,91,19,14
21000,113,32,22
22000,121,32,23
23000,131,41,25
24000,149,44,25
25000,175,43,24
26000,167,49,32
27000,185,48,30
28000,225,51,25
29000,234,66,35
30000,261,59,32
31000,254,75,34
32000,290,69,32
33000,330,70,25
34000,335,72,29
35000,376,85,29
36000,428,83,37
37000,440,82,28
38000,456,94,32
39000,484,97,29
40000,499,97,27
41000,669,129,53
42000,709,157,52
43000,747,143,51
44000,752,159,58
45000,848,166,57
46000,998,169,57
47000,864,179,62
48000,978,174,64
49000,1021,180,59
50000,983,196,62
51000,1061,229,63
52000,1134,224,60
53000,1168,249,61
54000,1198,263,53
55000,1225,229,59
56000,1288,265,63
57000,1319,257,63
58000,1550,279,60
59000,1558,275,66
60000,1649,281,69
61000,1663,275,65
62000,1688,307,66
63000,1878,321,61
64000,1839,339,66
65000,1730,398,68
66000,1887,410,66
67000,2131,372,68
68000,2192,368,76
69000,2315,397,73
70000,2485,381,71
71000,2485,422,77
72000,2561,427,68
73000,2868,442,69
74000,2770,477,71
75000,3048,485,67
76000,2920,536,77
77000,3128,514,75
78000,3277,528,68
79000,3383,539,76
